temp_GL_land_ocean,temp_NH_land_ocean,temp_SH_land_ocean,temp_GL_station,temp_NH_station,temp_SH_station,DATE
-38,-45,-32,-77,-100,-56,1887-12
-43,-58,-28,-80,-131,-32,1888-01
-42,-58,-27,-86,-132,-61,1888-02
-47,-63,-32,-95,-121,-88,1888-03
-28,-30,-27,-36,-62,-26,1888-04
-22,-14,-30,-79,-64,-107,1888-05
-20,-4,-35,-58,-50,-73,1888-06
-9,6,-24,-39,-24,-50,1888-07
-11,-10,-12,-39,-45,-37,1888-08
-6,-8,-5,-38,-41,-39,1888-09
1,5,-3,-37,-38,-51,1888-10
1,-3,4,-10,-38,9,1888-11
-12,-34,8,-30,-79,2,1888-12
-21,-41,-2,-45,-99,-20,1889-01
14,28,-1,4,-3,3,1889-02
4,3,5,-3,-12,-14,1889-03
4,12,-4,-1,21,-34,1889-04
-3,-7,2,-1,-1,-14,1889-05
-11,-13,-9,-31,-15,-45,1889-06
-5,2,-12,-51,-20,-85,1889-07
-17,-12,-22,-68,-29,-108,1889-08
-18,-20,-16,-44,-45,-46,1889-09
-22,-33,-11,-29,-63,-10,1889-10
-32,-54,-10,-63,-100,-40,1889-11
-31,-52,-10,-54,-83,-35,1889-12
-48,-66,-29,-69,-100,-62,1890-01
-48,-60,-37,-69,-73,-84,1890-02
-41,-42,-41,-71,-76,-71,1890-03
-37,-34,-41,-57,-57,-56,1890-04
-48,-48,-48,-98,-78,-120,1890-05
-27,-15,-38,-62,-35,-80,1890-06
-30,-28,-32,-70,-24,-113,1890-07
-36,-40,-32,-68,-34,-96,1890-08
-35,-41,-31,-39,-26,-51,1890-09
-22,-11,-34,-34,-11,-50,1890-10
-37,-52,-23,-80,-93,-72,1890-11
-30,-40,-21,-58,-64,-55,1890-12
-46,-63,-31,-104,-102,-117,1891-01
-49,-71,-27,-107,-122,-109,1891-02
-14,-8,-21,-57,-38,-76,1891-03
-25,-27,-23,-70,-63,-86,1891-04
-17,-17,-17,-52,-50,-59,1891-05
-21,-12,-31,-60,-37,-91,1891-06
-22,-14,-29,-77,-30,-127,1891-07
-20,-11,-30,-59,-25,-94,1891-08
-13,3,-28,-50,-14,-85,1891-09
-24,-24,-25,-67,-57,-85,1891-10
-37,-55,-21,-64,-104,-47,1891-11
-3,8,-13,-12,-1,-23,1891-12
-25,-35,-16,-64,-90,-56,1892-01
-15,-17,-13,-36,-40,-41,1892-02
-36,-53,-20,-64,-100,-47,1892-03
-35,-41,-29,-77,-85,-81,1892-04
-25,-23,-27,-75,-56,-99,1892-05
-20,-1,-38,-64,-7,-107,1892-06
-28,-15,-42,-48,-39,-57,1892-07
-19,-6,-33,-35,-38,-24,1892-08
-25,-32,-18,-51,-13,-85,1892-09
-17,-21,-12,-44,-21,-64,1892-10
-49,-87,-13,-67,-109,-46,1892-11
-29,-49,-10,-67,-95,-51,1892-12
-69,-132,-7,-151,-245,-102,1893-01
-51,-85,-17,-105,-144,-87,1893-02
-24,-28,-20,-64,-37,-81,1893-03
-32,-29,-35,-72,-37,-102,1893-04
-35,-36,-34,-83,-62,-98,1893-05
-24,-18,-31,-81,-25,-127,1893-06
-14,-12,-17,-24,-9,-33,1893-07
-23,-25,-23,-43,-22,-67,1893-08
-18,-17,-20,-36,-25,-47,1893-09
-16,-19,-13,-18,-12,-19,1893-10
-17,-20,-14,-25,-28,-29,1893-11
-38,-64,-13,-46,-82,-22,1893-12
-55,-87,-24,-91,-122,-82,1894-01
-31,-40,-22,-64,-71,-68,1894-02
-20,-16,-23,-41,-5,-69,1894-03
-41,-50,-32,-68,-69,-72,1894-04
-30,-24,-35,-71,-48,-99,1894-05
-43,-46,-40,-53,-42,-76,1894-06
-32,-30,-33,-43,-9,-76,1894-07
-28,-27,-29,-42,-16,-63,1894-08
-23,-26,-19,-53,-34,-73,1894-09
-17,-21,-12,-19,-36,-10,1894-10
-25,-47,-4,-26,-77,11,1894-11
-22,-31,-12,-22,-46,-9,1894-12
-44,-72,-16,-76,-129,-44,1895-01
-42,-73,-12,-85,-137,-56,1895-02
-29,-35,-24,-59,-58,-63,1895-03
-22,-19,-26,-53,-29,-71,1895-04
-23,-25,-20,-35,-28,-41,1895-05
